SITEID,COUNTYID,DATACREATIONDATE,PSI
277,65000,24-8 -16,28.0
278,65000,24-8 -16,34.0
279,65000,24-8 -16,32.0
280,65000,24-8 -16,39.0
281,65000,24-8 -16,33.0
282,65000,24-8 -16,33.0
283,65000,24-8 -16,35.0
297,10018,24-8 -16,34.0
203,10005,24-8 -16,39.0
241,10005,24-8 -16,41.0
242,10005,24-8 -16,32.0
243,66000,24-8 -16,43.0
244,66000,24-8 -16,45.0
245,66000,24-8 -16,50.0
246,66000,24-8 -16,39.0
247,66000,24-8 -16,45.0
248,10007,24-8 -16,49.0
204,10007,24-8 -16,42.0
249,10007,24-8 -16,46.0
250,10008,24-8 -16,60.0
251,10009,24-8 -16,54.0
252,10009,24-8 -16,52.0
253,10010,24-8 -16,48.0
254,10010,24-8 -16,58.0
205,10009,24-8 -16,33.0
255,10020,24-8 -16,54.0
256,67000,24-8 -16,40.0
257,67000,24-8 -16,37.0
258,67000,24-8 -16,52.0
259,67000,24-8 -16,36.0
266,64000,22-8 -16,37.0
209,64000,22-8 -16,48.0
267,64000,22-8 -16,40.0
268,10013,22-8 -16,40.0
269,10013,22-8 -16,52.0
270,10013,22-8 -16,29.0
271,10014,22-8 -16,25.0
272,10015,22-8 -16,26.0
210,63000,22-8 -16,17.0
273,10002,22-8 -16,29.0
274,10002,22-8 -16,20.0
211,65000,22-8 -16,62.0
212,68000,22-8 -16,46.0
275,10008,22-8 -16,50.0
213,65000,22-8 -16,25.0
214,64000,22-8 -16,30.0
215,10008,22-8 -16,50.0
218,9007,22-8 -16,33.0
220,9020,22-8 -16,49.0
221,10016,22-8 -16,27.0
223,10014,22-8 -16,15.0
367625,10009,22-8 -16,51.0
276,10017,22-8 -16,13.0
277,65000,22-8 -16,15.0
278,65000,22-8 -16,19.0
279,65000,22-8 -16,22.0
280,65000,22-8 -16,19.0
281,65000,22-8 -16,26.0
282,65000,22-8 -16,24.0
283,65000,22-8 -16,23.0
284,65000,22-8 -16,28.0
285,65000,22-8 -16,26.0
286,63000,22-8 -16,33.0
287,63000,22-8 -16,27.0
288,63000,22-8 -16,28.0
289,63000,22-8 -16,20.0
290,63000,22-8 -16,26.0
201,63000,22-8 -16,35.0
296,10004,22-8 -16,49.0
297,10018,22-8 -16,44.0
203,10005,22-8 -16,50.0
241,10005,22-8 -16,50.0
242,10005,22-8 -16,48.0
243,66000,22-8 -16,45.0
244,66000,22-8 -16,46.0
245,66000,22-8 -16,52.0
246,66000,22-8 -16,49.0
247,66000,22-8 -16,50.0
248,10007,22-8 -16,45.0
204,10007,22-8 -16,38.0
249,10007,22-8 -16,40.0
250,10008,22-8 -16,50.0
251,10009,22-8 -16,35.0
252,10009,22-8 -16,39.0
253,10010,22-8 -16,36.0
254,10010,22-8 -16,43.0
205,10009,22-8 -16,40.0
255,10020,22-8 -16,37.0
256,67000,22-8 -16,36.0
257,67000,22-8 -16,28.0
258,67000,22-8 -16,36.0
259,67000,22-8 -16,26.0
260,64000,22-8 -16,24.0
206,64000,22-8 -16,29.0
261,64000,22-8 -16,34.0
207,64000,22-8 -16,39.0
263,64000,22-8 -16,28.0
264,64000,22-8 -16,40.0
265,64000,22-8 -16,45.0
295,10004,23-8 -16,69.0
296,10004,23-8 -16,66.0
297,10018,23-8 -16,
203,10005,23-8 -16,62.0
241,10005,23-8 -16,59.0
