SITEID,COUNTYID,PSI,DATACREATIONDATE
285,65000,67.0,2015/3/03
286,63000,64.0,2015/3/03
287,63000,85.0,2015/3/03
288,63000,67.0,2015/3/03
267,64000,60.0,2015/3/03
268,10013,70.0,2015/3/03
269,10013,60.0,2015/3/03
270,10013,33.0,2015/3/03
271,10014,22.0,2015/3/03
213,65000,41.0,2015/2/26
214,64000,44.0,2015/2/26
215,10008,57.0,2015/2/26
218,9007,39.0,2015/2/26
220,9020,46.0,2015/2/26
221,10016,35.0,2015/2/26
223,10014,27.0,2015/2/26
367625,10009,56.0,2015/2/26
276,10017,27.0,2015/2/26
277,65000,33.0,2015/2/26
278,65000,36.0,2015/2/26
279,65000,42.0,2015/2/26
280,65000,52.0,2015/2/26
281,65000,50.0,2015/2/26
253,10010,39.0,2015/2/22
254,10010,35.0,2015/2/22
205,10009,58.0,2015/2/22
255,10020,25.0,2015/2/22
256,67000,29.0,2015/2/22
257,67000,23.0,2015/2/22
258,67000,24.0,2015/2/22
259,67000,24.0,2015/2/22
297,10018,35.0,2015/2/26
203,10005,45.0,2015/2/26
241,10005,42.0,2015/2/26
242,10005,33.0,2015/2/26
243,66000,56.0,2015/2/26
244,66000,50.0,2015/2/26
245,66000,54.0,2015/2/26
246,66000,50.0,2015/2/26
247,66000,55.0,2015/2/26
248,10007,52.0,2015/2/26
204,10007,47.0,2015/2/26
249,10007,42.0,2015/2/26
250,10008,66.0,2015/2/26
251,10009,63.0,2015/2/26
252,10009,48.0,2015/2/26
253,10010,58.0,2015/2/26
254,10010,56.0,2015/2/26
205,10009,38.0,2015/2/26
255,10020,62.0,2015/2/26
256,67000,56.0,2015/2/26
272,10015,26.0,2015/3/03
282,65000,46.0,2015/2/26
283,65000,39.0,2015/2/26
284,65000,35.0,2015/2/26
285,65000,33.0,2015/2/26
286,63000,17.0,2015/2/26
287,63000,50.0,2015/2/26
288,63000,30.0,2015/2/26
289,63000,42.0,2015/2/26
290,63000,27.0,2015/2/26
201,63000,50.0,2015/2/26
291,68000,32.0,2015/2/26
292,68000,41.0,2015/2/26
202,68000,37.0,2015/2/26
293,68000,42.0,2015/2/26
294,68000,48.0,2015/2/26
295,10004,37.0,2015/2/26
296,10004,45.0,2015/2/26
257,67000,47.0,2015/2/26
258,67000,53.0,2015/2/26
259,67000,45.0,2015/2/26
260,64000,50.0,2015/2/26
206,64000,45.0,2015/2/26
261,64000,56.0,2015/2/26
207,64000,56.0,2015/2/26
262,64000,50.0,2015/2/26
263,64000,35.0,2015/2/26
264,64000,60.0,2015/2/26
265,64000,38.0,2015/2/26
266,64000,55.0,2015/2/26
209,64000,44.0,2015/2/26
267,64000,59.0,2015/2/26
268,10013,56.0,2015/2/26
269,10013,54.0,2015/2/26
270,10013,36.0,2015/2/26
271,10014,27.0,2015/2/26
272,10015,50.0,2015/2/26
210,63000,37.0,2015/2/26
206,64000,56.0,2015/3/12
261,64000,70.0,2015/3/12
207,64000,72.0,2015/3/12
262,64000,64.0,2015/3/12
263,64000,50.0,2015/3/12
264,64000,72.0,2015/3/12
265,64000,58.0,2015/3/12
266,64000,70.0,2015/3/12
209,64000,60.0,2015/3/12
267,64000,66.0,2015/3/12
268,10013,65.0,2015/3/12
269,10013,75.0,2015/3/12
270,10013,37.0,2015/3/12
271,10014,26.0,2015/3/12
272,10015,18.0,2015/3/12
210,63000,44.0,2015/3/12
273,10002,28.0,2015/3/12
274,10002,36.0,2015/3/12
211,65000,25.0,2015/3/12
212,68000,28.0,2015/3/12
275,10008,58.0,2015/3/12
213,65000,35.0,2015/3/12
214,64000,63.0,2015/3/12
215,10008,54.0,2015/3/12
218,9007,40.0,2015/3/12
220,9020,35.0,2015/3/12
221,10016,40.0,2015/3/12
223,10014,28.0,2015/3/12
367625,10009,37.0,2015/3/12
276,10017,44.0,2015/3/12
277,65000,40.0,2015/3/12
278,65000,47.0,2015/3/12
279,65000,33.0,2015/3/12
280,65000,34.0,2015/3/12
281,65000,30.0,2015/3/12
282,65000,23.0,2015/3/12
283,65000,17.0,2015/3/12
284,65000,46.0,2015/3/12
285,65000,39.0,2015/3/12
286,63000,32.0,2015/3/12
287,63000,25.0,2015/3/12
288,63000,27.0,2015/3/12
289,63000,36.0,2015/3/12
290,63000,42.0,2015/3/12
201,63000,33.0,2015/3/12
291,68000,34.0,2015/3/12
243,66000,21.0,2015/3/12
244,66000,26.0,2015/3/12
245,66000,,2015/3/12
246,66000,12.0,2015/3/12
247,66000,22.0,2015/3/12
248,10007,25.0,2015/3/12
204,10007,22.0,2015/3/12
249,10007,21.0,2015/3/12
250,10008,34.0,2015/3/12
251,10009,43.0,2015/3/12
252,10009,26.0,2015/3/12
253,10010,37.0,2015/3/12
254,10010,31.0,2015/3/12
205,10009,22.0,2015/3/12
255,10020,50.0,2015/3/12
256,67000,36.0,2015/3/12
257,67000,35.0,2015/3/12
258,67000,41.0,2015/3/12
259,67000,48.0,2015/3/12
260,64000,58.0,2015/3/12
292,68000,35.0,2015/3/12
202,68000,38.0,2015/3/12
293,68000,25.0,2015/3/12
294,68000,32.0,2015/3/12
295,10004,39.0,2015/3/12
296,10004,31.0,2015/3/12
297,10018,33.0,2015/3/12
203,10005,33.0,2015/3/12
241,10005,24.0,2015/3/12
242,10005,29.0,2015/3/12
273,10002,24.0,2015/3/14
274,10002,19.0,2015/3/14
